Threshold,Precision,Recall,F1-Score,Accuracy
0.05,0.3765387400434468,0.9523809523809523,0.5396990140114167,0.6500295916354311
0.06,0.4096146205800556,0.9441391941391941,0.57134940426711,0.694811599921089
0.07,0.44576719576719576,0.9258241758241759,0.6017857142857143,0.7360426119550207
0.08,0.471563981042654,0.9111721611721612,0.6214865708931917,0.7608995857171039
0.09,0.5030769230769231,0.8983516483516484,0.6449704142011834,0.7869402248964292
0.1,0.5308911973756151,0.8891941391941391,0.6648408079424855,0.806865259420004
0.11,0.5565167243367936,0.8836996336996337,0.6829440905874027,0.8232392976918524
0.12,0.5894283958205285,0.8782051282051282,0.7054063994115484,0.8419806667981851
0.13,0.6155844155844156,0.8681318681318682,0.7203647416413373,0.8548037088183074
0.14,0.6377306903622693,0.8543956043956044,0.7303326810176125,0.8640757545867035
0.15,0.6607015032211883,0.8452380952380952,0.7416633186018481,0.8731505227855593
0.16,0.6855862584017924,0.8406593406593407,0.7552447552447552,0.8826198461234958
0.17,0.7066563467492261,0.8360805860805861,0.7659395973154363,0.8899191161964884
0.18,0.7208,0.825091575091575,0.7694278394534586,0.8934701124482146
0.19,0.7417218543046358,0.8205128205128205,0.7791304347826087,0.8997829946735056
0.2,0.7600341588385995,0.815018315018315,0.7865665046398586,0.9047149339120142
0.21,0.7718531468531469,0.8086080586080586,0.7898032200357782,0.9072795423160387
0.22,0.7920433996383364,0.8021978021978022,0.7970882620564149,0.9120142039850069
0.23,0.8063021316033364,0.7967032967032966,0.8014739751266697,0.9149733675281121
0.24,0.8204158790170132,0.7948717948717948,0.8074418604651162,0.9183270862102979
0.25,0.8304431599229287,0.7893772893772893,0.8093896713615023,0.9199053067666206
0.26,0.8393731635651323,0.7847985347985348,0.8111689540937056,0.921286249753403
0.27,0.8501498501498501,0.7793040293040293,0.8131868131868132,0.9228644703097257
0.28,0.8613659531090724,0.7738095238095238,0.8152436082971539,0.9244426908660486
0.29,0.8698347107438017,0.7710622710622711,0.8174757281553398,0.925823633852831
0.3,0.8823529411764706,0.7692307692307693,0.821917808219178,0.9281909646873151
0.31,0.8923240938166311,0.7664835164835165,0.8246305418719212,0.9297691852436378
0.32,0.8948497854077253,0.7637362637362637,0.8241106719367589,0.9297691852436378
0.33,0.9031556039173014,0.76007326007326,0.8254599701640974,0.9307555730913395
0.34,0.9075907590759076,0.7554945054945055,0.8245877061469266,0.9307555730913395
0.35,0.9174107142857143,0.7527472527472527,0.8269617706237424,0.9321365160781219
0.36,0.9224719101123595,0.7518315018315018,0.8284561049445005,0.9329256263562833
0.37,0.9276018099547512,0.7509157509157509,0.8299595141700404,0.9337147366344447
0.38,0.9324169530355098,0.7454212454212454,0.8284987277353689,0.9335174590649044
0.39,0.9387990762124712,0.7445054945054945,0.8304392236976507,0.934503846912606
0.4,0.9406976744186046,0.7408424908424909,0.8288934426229508,0.9341092917735253
0.41,0.9437939110070258,0.7380952380952381,0.828365878725591,0.9341092917735253
0.42,0.9492924528301887,0.7371794871794872,0.8298969072164949,0.9348984020516867
0.43,0.9513641755634639,0.7344322344322345,0.8289405684754522,0.9347011244821464
0.44,0.9535160905840286,0.7326007326007326,0.8285862247540134,0.9347011244821464
0.45,0.9545454545454546,0.7307692307692307,0.8278008298755186,0.934503846912606
0.46,0.9555822328931572,0.7289377289377289,0.827012987012987,0.9343065693430657
0.47,0.962378640776699,0.7261904761904762,0.8277661795407099,0.9348984020516867
0.48,0.9622411693057247,0.7234432234432234,0.8259278619968635,0.9343065693430657
0.49,0.9621026894865525,0.7206959706959707,0.8240837696335078,0.9337147366344447
0.5,0.9620563035495716,0.7197802197802198,0.8234677841801991,0.9335174590649044
0.51,0.9656019656019657,0.7197802197802198,0.8247639034627492,0.9341092917735253
0.52,0.9667487684729064,0.7188644688644689,0.8245798319327731,0.9341092917735253
0.53,0.969059405940594,0.717032967032967,0.8242105263157895,0.9341092917735253
0.54,0.9701492537313433,0.7142857142857143,0.8227848101265823,0.9337147366344447
0.55,0.9725343320848939,0.7133699633699634,0.8230322239830956,0.933912014203985
0.56,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.9337147366344447
0.57,0.9736180904522613,0.7097069597069597,0.8209745762711864,0.933320181495364
0.58,0.9748110831234257,0.7087912087912088,0.8207847295864263,0.933320181495364
0.59,0.9748110831234257,0.7087912087912088,0.8207847295864263,0.933320181495364
0.6,0.9784810126582278,0.7078754578754579,0.8214665249734325,0.9337147366344447
0.61,0.9809644670050761,0.7078754578754579,0.8223404255319149,0.9341092917735253
0.62,0.9809402795425667,0.706959706959707,0.8217136774880256,0.933912014203985
0.63,0.9846547314578005,0.7051282051282052,0.8217716115261473,0.9341092917735253
0.64,0.9858611825192802,0.7023809523809523,0.8203208556149733,0.9337147366344447
0.65,0.9883870967741936,0.7014652014652014,0.8205677557579004,0.933912014203985
0.66,0.9896373056994818,0.6996336996336996,0.8197424892703863,0.9337147366344447
0.67,0.9895968790637191,0.6968864468864469,0.8178398710370769,0.9331229039258236
0.68,0.9908616187989556,0.695054945054945,0.8170075349838536,0.9329256263562833
0.69,0.9908256880733946,0.6923076923076923,0.8150943396226416,0.9323337936476622
0.7,0.9920948616600791,0.6895604395604396,0.813614262560778,0.9319392385085816
0.71,0.9934036939313984,0.6895604395604396,0.8140540540540541,0.9321365160781219
0.72,0.9933949801849405,0.6886446886446886,0.8134126554894537,0.9319392385085816
0.73,0.9933949801849405,0.6886446886446886,0.8134126554894537,0.9319392385085816
0.74,0.9933949801849405,0.6886446886446886,0.8134126554894537,0.9319392385085816
0.75,0.9933949801849405,0.6886446886446886,0.8134126554894537,0.9319392385085816
0.76,0.993368700265252,0.6858974358974359,0.8114842903575298,0.9313474057999606
0.77,0.9946595460614153,0.6822344322344323,0.8093427485062467,0.9307555730913395
