arm,ROC-AUC,PR-AUC,Brier,mean_predicted,Accuracy,Precision,Recall,F1-Score,threshold,n_features
leaky-weighted,0.9491924959637693,0.9045586827906328,0.06818659677481012,0.30346331000328064,0.9375,0.9498607242339833,0.7494505494505495,0.8378378378378378,0.7,24
clean-weighted,0.9491924959637693,0.9045586827906328,0.06818659677481012,0.30346331000328064,0.9375,0.9498607242339833,0.7494505494505495,0.8378378378378378,0.7,24
clean-unweighted,0.9494551180731025,0.905072252080264,0.05155475559009377,0.2152891457080841,0.9360795454545454,0.9347826086956522,0.756043956043956,0.8359659781287971,0.39,24
