model,ROC-AUC,PR-AUC,Brier,mean_predicted,Accuracy,Precision,Recall,F1-Score,threshold,n_features
Logistic Regression,0.8750410991811113,0.7397652423792117,0.09863835326939678,0.2165257779547237,0.8630050505050505,0.67712045616536,0.6959706959706959,0.6864161849710982,0.35,24
Random Forest,0.931470956455869,0.8842971759043822,0.0564950441919192,0.21921717171717173,0.9348169191919192,0.9415584415584416,0.7435897435897436,0.830945558739255,0.43,24
XGBoost,0.9494551180731025,0.905072252080264,0.05155475559009377,0.2152891457080841,0.9360795454545454,0.9347826086956522,0.756043956043956,0.8359659781287971,0.39,24
SVM (RBF),0.904095180619019,0.846410858904197,0.06932575456076505,0.2172908544787588,0.9127209595959596,0.8738489871086557,0.6952380952380952,0.7743778049775601,0.43,24
